name,city,country,favourite_sport
Emma,London,UK,Tennis
Liam,New York,USA,Basketball
Olivia,Paris,France,Soccer
Noah,Sydney,Australia,Basketball
Ava,Tokyo,Japan,Tennis
William,Mexico City,Mexico,Soccer
Sophia,Berlin,Germany,Basketball
James,Moscow,Russia,Ice Hockey
Isabella,Rome,Italy,Tennis
Benjamin,Mumbai,India,Cricket
Charlotte,Beijing,China,Basketball
Mason,Cairo,Egypt,Soccer
Amelia,Seoul,South Korea,Volleyball
Elijah,Toronto,Canada,Basketball
Harper,Buenos Aires,Argentina,Soccer
Oliver,Madrid,Spain,Basketball
Ethan,Bogotá,Colombia,Football
Evelyn,Bangkok,Thailand,Badminton
Michael,Los Angeles,USA,Basketball
Abigail,Shanghai,China,Tennis